,EPS 原始資料,Dividen 原始資料,ROE 原始資料,Net Margin 原始資料,Free Cash flow 原始資料,Interest Coverage 原始資料,Symbol
2021,5.61,0.865,1.5007132667617689,0.2588179335569424,92953000000.0,42.288090737240076,AAPL
2022,6.11,0.91,1.9695887275023682,0.2530964070519973,111443000000.0,40.74957352439441,AAPL
2023,6.13,0.95,1.5607601454639075,0.2530623426432028,99584000000.0,29.062039155860667,AAPL
2024,6.08,0.99,1.6459350307287095,0.23971255769943867,108807000000.0,,AAPL
,,,,,,,
2021,10.12,4.949832,0.3935265186760601,0.16747277612784614,5851000000.0,15.762295081967213,MMM
2022,10.18,4.983276,0.3924059231082733,0.1687750153378714,3842000000.0,14.835497835497835,MMM
2023,-12.63,5.016724,-1.4551695444143957,-0.2842340511986997,5065000000.0,-10.977683315621679,MMM
2024,7.55,3.362542,1.086153045288912,0.16980671414038656,638000000.0,5.046179680940386,MMM
,,,,,,,
2021,11.27,3.0700000000000003,0.28507173764518334,0.025555175599324246,5370000000.0,40.06432748538012,COST
2022,13.14,3.49,0.2831121015405484,0.025749711395260715,3501000000.0,50.620253164556964,COST
2023,14.16,18.96,0.2510974539069359,0.025968880267448098,6745000000.0,54.04375,COST
2024,16.56,4.5,0.3118702904072475,0.028952301603832536,6629000000.0,58.633136094674555,COST
,,,,,,,
2021,5.61,,0.30215590041131,0.2951167728237792,67012000000.0,263.2369942196532,GOOG
2022,4.56,,0.2341339246673746,0.2120380715326196,60010000000.0,200.7983193277311,GOOG
2023,5.8,,0.26041096905557576,0.24006649446638517,69495000000.0,279.30194805194805,GOOG
2024,8.04,0.6000000000000001,0.30797578472025694,0.28603671811164,72764000000.0,448.07089552238807,GOOG
,,,,,,,
2024,5.53,,0.2071825715984194,0.09287117197186653,32878000000.0,29.517871986699916,AMZN
2023,2.9,,0.15071207430340558,0.05293283575597832,32217000000.0,12.802954116907605,AMZN
2022,-0.27,,-0.018638346240490815,-0.005295895000418302,-16893000000.0,-1.507815800591466,AMZN
2021,3.2405,,0.2413396506202756,0.07101412875514557,-14726000000.0,22.08955223880597,AMZN
,,,,,,,
2024,1.0,,0.028505419677598665,0.06364165212332752,2405000000.0,22.619565217391305,AMD
2023,0.53,,0.015279467544550203,0.037654320987654324,1121000000.0,5.6415094339622645,AMD
2022,0.84,,0.02410958904109589,0.055929833481632135,3115000000.0,14.454545454545455,AMD
2021,2.57,,0.4217687074829932,0.1924059875867105,3220000000.0,108.91176470588235,AMD
,,,,,,,
2021,10.04,5.25,-1.6399043686155184,0.32490343583273407,7101500000.0,8.697672457412716,MCD
2022,8.33,5.66,-1.0289169470633308,0.2664567336726771,5488000000.0,7.483015741507871,MCD
2023,11.56,6.23,-1.7996175095622609,0.3321827809374387,7255000000.0,8.731080088170463,MCD
2024,11.39,6.779999999999999,-2.16622760800843,0.31724537037037037,6671000000.0,7.869189907038512,MCD
,,,,,,,
2021,2.25,1.68,0.42484455845906344,0.2527745440434614,11258000000.0,8.780212899185974,KO
2022,2.19,1.76,0.3958514830947936,0.2218863361547763,9534000000.0,14.249433106575964,KO
2023,2.47,1.84,0.41301414748853166,0.23416531887922368,9747000000.0,9.481990831696136,KO
2024,2.46,1.94,0.4277035725780496,0.22589830220352308,4741000000.0,8.902173913043478,KO
,,,,,,,
2022,5.81,3.609,0.31642662431045954,0.18384526170077445,13567000000.0,41.99088838268793,PG
2023,5.9,3.7359999999999998,0.31325223934839774,0.17868204765504964,13786000000.0,25.276455026455025,PG
2024,6.02,3.9619999999999997,0.2958875233663445,0.17704875117504967,16525000000.0,21.282162162162162,PG
2025,6.51,3.1209999999999996,0.3071214335153426,0.1895258886621423,14045000000.0,23.2348401323043,PG
,,,,,,,
2021,5.49,4.247999999999999,0.474848843732469,0.09585524825729169,6991000000.0,6.271604938271605,PEP
2022,6.42,4.5249999999999995,0.5195638229634381,0.10313454949532364,5604000000.0,12.400425985090521,PEP
2023,6.56,4.944999999999999,0.49040696103334597,0.09920083961036831,7924000000.0,14.94017094017094,PEP
2024,6.95,5.33,0.5309018347098277,0.10427417423302197,7189000000.0,13.998911860718172,PEP
,,,,,,,
2021,115.05,1.892,0.27561079400452193,0.373159633744169,262724300000.0,123.4624136529866,TSM
2022,196.0,1.856,0.34203123044600764,0.43859146417498046,520972800000.0,98.36784680851063,TSM
2023,161.7,1.847,0.2483552811901739,0.3940074453131599,286568900000.0,82.61378902278447,TSM
2024,226.25,2.34,0.2729282433136562,0.40022703874919724,861195500000.0,134.94820588067154,TSM
,,,,,,,
2024,2.04,,0.09778777447094482,0.07298597604667827,3581000000.0,26.685714285714287,TSLA
2023,4.31,,0.23947057508701344,0.15499157822946483,4357000000.0,64.92948717948718,TSLA
2022,3.62,,0.28147369362920543,0.15446465836831896,7552000000.0,72.82722513089006,TSLA
2021,1.63,,0.18298055583159428,0.10263270349107259,3483000000.0,18.097035040431265,TSLA
,,,,,,,
